CrimeDate,CrimeTime,CrimeCode,Location,Description,Inside/Outside,Weapon,Post,District,Neighborhood,Longitude,Latitude,Location 1,Premise,Total Incidents
09/24/2017,108,9S,100 N BELNORD AV,SHOOTING,,FIREARM,222,SOUTHEASTERN,Patterson Park Neighborho,-76.57844,39.29365,"(39.29365, -76.57844)",Street,1
09/23/2017,609,1F,2400 ETTING ST,HOMICIDE,,FIREARM,733,WESTERN,Penn North,-76.64109,39.31116,"(39.31116, -76.64109)",Street,1
09/23/2017,524,1F,1900 GRIFFIS AV,HOMICIDE,,FIREARM,831,SOUTHWESTERN,Morrell Park,-76.65041,39.2675,"(39.2675, -76.65041)",Alley,1
09/23/2017,201,1F,500 N CURLEY ST,HOMICIDE,,FIREARM,224,SOUTHEASTERN,Ellwood Park/Monument,-76.57584,39.29709,"(39.29709, -76.57584)",Street,1
09/22/2017,2316,1F,4300 REISTERSTOWN RD,HOMICIDE,,FIREARM,613,NORTHWESTERN,Towanda-Grantley,-76.66697,39.33761,"(39.33761, -76.66697)",Parking Lo,1
09/22/2017,1759,9S,1800 N FULTON AV,SHOOTING,,FIREARM,742,WESTERN,Sandtown-Winchester,-76.64648,39.30894,"(39.30894, -76.64648)",Street,1
09/22/2017,328,9S,0 S WARWICK AV,SHOOTING,,FIREARM,842,SOUTHWESTERN,Shipley Hill,-76.65556,39.2877,"(39.2877, -76.65556)",Street,1
09/21/2017,937,9S,3500 PULASKI HWY,SHOOTING,,FIREARM,224,SOUTHEASTERN,Ellwood Park/Monument,-76.56872,39.29618,"(39.29618, -76.56872)",Street,1
09/21/2017,720,1F,1400 DARLEY AV,HOMICIDE,,FIREARM,342,EASTERN,Darley Park,-76.59677,39.31512,"(39.31512, -76.59677)",Alley,1
09/20/2017,2003,1F,1900 MARYLAND AV,HOMICIDE,,FIREARM,141,CENTRAL,Charles North,-76.61795,39.31121,"(39.31121, -76.61795)",Street,1
